,District_Number,Area,Belongs_To,Eligible_First_Votes_Final,Eligible_Second_Votes_Final,Voters_First_Votes_Final,Voters_Second_Votes_Final,Invalid_First_Votes_Final,Invalid_Second_Votes_Final,Valid_First_Votes_Final,Valid_Second_Votes_Final,CDU_First_Votes_Final,CDU_Second_Votes_Final,SPD_First_Votes_Final,SPD_Second_Votes_Final,AfD_First_Votes_Final,AfD_Second_Votes_Final,FDP_First_Votes_Final,FDP_Second_Votes_Final,Left_First_Votes_Final,Left_Second_Votes_Final,Greens_First_Votes_Final,Greens_Second_Votes_Final,CSU_First_Votes_Final,CSU_Second_Votes_Final,FW_First_Votes_Final,FW_Second_Votes_Final
21,22,Hamburg-Wandsbek,2,233483.0,233483.0,174014.0,174014.0,1678.0,1193.0,172336.0,172821.0,33085.0,29103.0,66616.0,59298.0,11490.0,11290.0,15755.0,19225.0,10629.0,8852.0,26599.0,32134.0,,,,1084.0
22,23,Hamburg-Bergedorf – Harburg,2,221794.0,221794.0,158246.0,158246.0,1601.0,1229.0,156645.0,157017.0,26483.0,25427.0,61590.0,52523.0,12774.0,12638.0,13301.0,15674.0,10521.0,9878.0,24231.0,27931.0,,,2109.0,1319.0
23,24,Aurich – Emden,3,191846.0,191846.0,137847.0,137847.0,2286.0,1653.0,135561.0,136194.0,24019.0,24066.0,71596.0,59038.0,,11173.0,11798.0,12113.0,4861.0,4671.0,12652.0,17668.0,,,4205.0,1769.0
24,25,Unterems,3,238506.0,238506.0,175826.0,175826.0,2079.0,1550.0,173747.0,174276.0,77143.0,52067.0,49440.0,59229.0,13584.0,14248.0,10763.0,17671.0,4358.0,4650.0,16434.0,18576.0,,,,856.0
25,26,Friesland – Wilhelmshaven – Wittmund,3,189047.0,189047.0,134164.0,134164.0,1188.0,1234.0,132976.0,132930.0,29286.0,28535.0,60392.0,50448.0,10227.0,10951.0,9502.0,13874.0,3460.0,4122.0,13504.0,17020.0,,,2611.0,1512.0
26,27,Oldenburg – Ammerland,3,228705.0,228705.0,173725.0,173725.0,1397.0,1175.0,172328.0,172550.0,34294.0,32100.0,65757.0,55231.0,8572.0,8903.0,12859.0,17674.0,10183.0,8344.0,35119.0,40919.0,,,1416.0,1041.0
27,28,Delmenhorst – Wesermarsch – Oldenburg-Land,3,226827.0,226827.0,163753.0,163753.0,1781.0,1595.0,161972.0,162158.0,40410.0,36649.0,59377.0,55621.0,11999.0,12987.0,17278.0,18571.0,4931.0,5046.0,21202.0,23973.0,,,2165.0,1555.0
28,29,Cuxhaven – Stade II,3,188602.0,188602.0,140739.0,140739.0,1067.0,1023.0,139672.0,139716.0,42085.0,36586.0,51417.0,48858.0,10227.0,11000.0,9622.0,14052.0,2694.0,3672.0,15389.0,17553.0,,,2102.0,1535.0
29,30,Stade I – Rotenburg II,3,198576.0,198576.0,151821.0,151821.0,1188.0,935.0,150633.0,150886.0,52069.0,39969.0,47763.0,48301.0,10735.0,11002.0,12019.0,16720.0,4340.0,4301.0,19923.0,22091.0,,,,1620.0
30,31,Mittelems,3,233253.0,233253.0,180543.0,180543.0,1330.0,1104.0,179213.0,179439.0,72523.0,60733.0,52309.0,55461.0,8993.0,9235.0,17466.0,21101.0,3996.0,3969.0,22562.0,22515.0,,,,723.0
31,32,Cloppenburg – Vechta,3,223948.0,223948.0,164507.0,164507.0,1321.0,1155.0,163186.0,163352.0,80134.0,62837.0,33825.0,40212.0,12674.0,12772.0,14397.0,19747.0,3542.0,3549.0,17366.0,18093.0,,,,792.0
32,33,Diepholz – Nienburg I,3,194371.0,194371.0,146954.0,146954.0,1460.0,982.0,145494.0,145972.0,49116.0,36915.0,46455.0,48196.0,9683.0,10372.0,13671.0,17628.0,4029.0,3920.0,19702.0,21139.0,,,,1322.0
33,34,Osterholz – Verden,3,197490.0,197490.0,151308.0,151308.0,1927.0,1089.0,149381.0,150219.0,50274.0,36183.0,48574.0,49430.0,,11329.0,13764.0,15653.0,6375.0,5253.0,21933.0,24183.0,,,4578.0,1494.0
34,35,Rotenburg I – Heidekreis,3,168927.0,168927.0,125100.0,125100.0,934.0,896.0,124166.0,124204.0,32720.0,31119.0,59131.0,43196.0,9182.0,9945.0,7354.0,12526.0,3010.0,3536.0,10035.0,16857.0,,,2734.0,1433.0
35,36,Harburg,3,201740.0,201740.0,161635.0,161635.0,1122.0,893.0,160513.0,160742.0,46711.0,39850.0,49773.0,46765.0,11007.0,11671.0,14395.0,20426.0,4230.0,4682.0,24120.0,26777.0,,,3515.0,2404.0
36,37,Lüchow-Dannenberg – Lüneburg,3,182673.0,182673.0,139183.0,139183.0,1546.0,1077.0,137637.0,138106.0,34287.0,29032.0,38784.0,41262.0,8603.0,9145.0,9513.0,13241.0,5378.0,6328.0,34606.0,30585.0,,,1561.0,1161.0
37,38,Osnabrück-Land,3,199960.0,199960.0,151837.0,151837.0,1251.0,1379.0,150586.0,150458.0,54535.0,42864.0,44709.0,48352.0,9418.0,10069.0,13006.0,16653.0,3596.0,3870.0,22011.0,22160.0,,,1262.0,824.0
38,39,Stadt Osnabrück,3,195467.0,195467.0,149541.0,149541.0,1335.0,1031.0,148206.0,148510.0,43316.0,34462.0,44876.0,44919.0,6695.0,6903.0,10090.0,14627.0,6977.0,6224.0,34140.0,34546.0,,,,543.0
39,40,Nienburg II – Schaumburg,3,193863.0,193863.0,142895.0,142895.0,1248.0,1103.0,141647.0,141792.0,43817.0,33968.0,50017.0,49553.0,11695.0,12434.0,8804.0,14213.0,3070.0,3842.0,18094.0,19968.0,,,1746.0,1335.0
40,41,Stadt Hannover I,3,176770.0,176770.0,128894.0,128894.0,1217.0,1308.0,127677.0,127586.0,27303.0,23410.0,44538.0,39511.0,7549.0,7677.0,9550.0,13282.0,4662.0,5768.0,27851.0,30360.0,,,847.0,691.0
41,42,Stadt Hannover II,3,190336.0,190336.0,143712.0,143712.0,1184.0,1262.0,142528.0,142450.0,26196.0,22537.0,46929.0,40116.0,6476.0,6753.0,9538.0,13288.0,7390.0,8831.0,37779.0,41976.0,,,875.0,698.0
42,43,Hannover-Land I,3,231250.0,231250.0,174581.0,174581.0,1464.0,1879.0,173117.0,172702.0,55185.0,44529.0,58297.0,55464.0,12942.0,13295.0,12557.0,19550.0,3981.0,4504.0,22490.0,26219.0,,,,1077.0
43,44,Celle – Uelzen,3,214482.0,214482.0,158022.0,158022.0,1388.0,1192.0,156634.0,156830.0,51504.0,40993.0,50635.0,48332.0,14498.0,14423.0,13412.0,17990.0,4357.0,4680.0,18773.0,21882.0,,,3399.0,1578.0
44,45,Gifhorn – Peine,3,219966.0,219966.0,166592.0,166592.0,1568.0,1762.0,165024.0,164830.0,40279.0,37839.0,72113.0,58846.0,15346.0,16048.0,10738.0,16238.0,3619.0,4147.0,15762.0,21960.0,,,2084.0,1627.0
45,46,Hameln-Pyrmont – Holzminden,3,184471.0,184471.0,132893.0,132893.0,1345.0,1284.0,131548.0,131609.0,33575.0,29809.0,56893.0,48438.0,11208.0,11590.0,9102.0,13624.0,3676.0,3734.0,13259.0,17274.0,,,1979.0,1122.0
46,47,Hannover-Land II,3,238323.0,238323.0,181202.0,181202.0,1654.0,2110.0,179548.0,179092.0,45721.0,40612.0,73088.0,62024.0,13377.0,13850.0,11883.0,18320.0,4095.0,4994.0,22283.0,29201.0,,,1978.0,1672.0
47,48,Hildesheim,3,215131.0,215131.0,161685.0,161685.0,1676.0,1907.0,160009.0,159778.0,41230.0,36504.0,61857.0,55439.0,11387.0,12161.0,11507.0,15397.0,5481.0,5308.0,22973.0,26565.0,,,1420.0,1054.0
48,49,Salzgitter – Wolfenbüttel,3,200922.0,200922.0,147218.0,147218.0,1794.0,1496.0,145424.0,145722.0,39541.0,33453.0,56157.0,53411.0,14331.0,14415.0,9544.0,13463.0,5675.0,4478.0,15353.0,18105.0,,,1651.0,1317.0
49,50,Braunschweig,3,187721.0,187721.0,140807.0,140807.0,1254.0,1513.0,139553.0,139294.0,31276.0,25929.0,51220.0,42377.0,8045.0,8238.0,9816.0,14046.0,5352.0,6355.0,28214.0,33401.0,,,1194.0,844.0
50,51,Helmstedt – Wolfsburg,3,180147.0,180147.0,130671.0,130671.0,1623.0,1467.0,129048.0,129204.0,34367.0,31827.0,54349.0,45414.0,12339.0,12241.0,9766.0,13073.0,3575.0,3496.0,11305.0,15481.0,,,2113.0,1128.0
51,52,Goslar – Northeim – Osterode,3,197519.0,197519.0,143611.0,143611.0,1544.0,1296.0,142067.0,142315.0,47196.0,33614.0,52129.0,53876.0,11240.0,11819.0,8827.0,14239.0,3835.0,4251.0,14954.0,17118.0,,,2031.0,1228.0
52,53,Göttingen,3,214542.0,214542.0,161876.0,161876.0,2399.0,1571.0,159477.0,160305.0,42958.0,34588.0,51385.0,51180.0,,9785.0,15261.0,15638.0,8057.0,8132.0,37060.0,32448.0,,,,1259.0
53,54,Bremen I,4,245384.0,245384.0,186308.0,186308.0,1337.0,1071.0,184971.0,185237.0,39440.0,32375.0,55934.0,53425.0,9099.0,9835.0,13929.0,18396.0,15306.0,15739.0,39721.0,44414.0,,,1853.0,1473.0
54,55,Bremen II – Bremerhaven,4,214365.0,214365.0,144123.0,144123.0,2037.0,1320.0,142086.0,142803.0,28552.0,24124.0,52498.0,49799.0,12466.0,12740.0,8469.0,12085.0,10617.0,9613.0,20769.0,24013.0,,,1799.0,1438.0
